,Agricultural area (ha),Agricultural land (% of total land area),Arable land (ha),Arable land (% of land area),Area under cereal production ('000 hectares),Permanent crops (hectares),Total forest area ('000 ha),Forest as percentage of land area (%),Irrigated area (ha),Other Land use (as % of land area),Total Land area (ha),Permanent pastures (hectares),Permanent pastures (% of land area),Plantations ('000 ha)
2007,16874200,68.67247273,3332000,0.135601498,2044503.3,809200,7915880,32.21504151,113050,18.11248576,29240680,12733000,51.81914374,102816
2008,16945600,68.96304737,3391500,0.138022953,2226424.55,821100,7873040,32.04069673,113050,17.9962559,29240680,12733000,51.81914374,105434
2009,16957500,69.01147648,3391500,0.138022953,2110234.14,833000,7830200,31.86635195,113050,18.12217158,29240680,12733000,51.81914374,108052
2010,17017000,69.25362201,3451000,0.140444408,2875423.18,833000,7787360,31.69200716,113050,18.05437083,29240680,12733000,51.81914374,110670
2011,17017000,69.25362201,3451000,0.140444408,2918009.71,833000,7744520,31.51766238,113050,18.22871561,29240680,12733000,51.81914374,113288
2012,17136000,69.73791307,3570000,0.145287319,3349650.08,833000,7701680,31.3433176,113050,17.91876933,29240680,12733000,51.81914374,115906
2013,17255000,70.22220413,3689000,0.15013023,3436029.8,833000,7658840,31.16897281,113050,17.60882305,29240680,12733000,51.81914374,118524
2014,17255000,70.22220413,3689000,0.15013023,3188325.35,,7616000,30.99462803,113050,17.78316783,29240680,12733000,51.81914374,121142
2015,17255000,70.22220413,3689000,0.15013023,3393213.6,,7573160,30.82028325,113050,17.95751262,29240680,12733000,51.81914374,123760
2016,,,,,3455028.15,,,,,,,,,
