Years,Agricultural area (ha),Agricultural land (% of total land area),Arable land (ha),Arable land (% of land area),Area under cereal production ('000 hectares),Permanent crops (hectares),Total forest area ('000 ha),Forest as percentage of land area (%),Irrigated area (ha),Other Land use (as % of land area),Total Land area (ha),Permanent pastures (hectares),Permanent pastures (% of land area),Plantations ('000 ha)
2007,4312226.8,59.74268218,1527626.8,0.211641286,605181.64,166600,3313912,45.91177612,35700,13.3455417,8589420,2618000,36.27043502,14898.8
2008,4417553.7,61.20190773,1632953.7,0.226233541,668663.38,166600,3290588,45.58863951,35700,12.20945276,8589420,2618000,36.27043502,15684.2
2009,4523154.3,62.66492519,1738554.3,0.240863716,707107.52,166600,3267264,45.26550291,35700,11.0695719,8589420,2618000,36.27043502,16469.6
2010,4677152.2,64.79845109,1880652.2,0.260550319,780457.93,178500,3243940,44.94236631,35700,9.259182599,8589420,2618000,36.27043502,17255
2011,4780979.7,66.23690357,1966629.7,0.272461859,855694.49,196350,3319624,45.99091161,35700,6.772184816,8589420,2618000,36.27043502,17707.2
2012,4565613.5,63.2531657,1751263.5,0.24262448,973465.22,196350,3395308,47.03945691,35700,8.70737739,8589420,2618000,36.27043502,18159.4
2013,4698893.5,65.09966057,1884543.5,0.261089429,920315.06,196350,3470992,48.08800222,35700,5.812337213,8589420,2618000,36.27043502,18611.6
2014,4699310,65.10543087,1884960,0.261147132,874996.29,,3546676,49.13654752,35700,4.758021613,8589420,2618000,36.27043502,19063.8
2015,4699310,65.10543087,1884960,0.261147132,664094.97,,3622360,50.18509282,35700,3.709476309,8589420,2618000,36.27043502,19516
2016,,,,,1039758.93,,,,,,,,,
